,Input,Response
38,Das kommt auf den Zusammenhang an.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das kommt auf den Zusammenhang an."",""model"":""UNK"",""editXml"":""Das kommt auf den Zusammenhang an."",""corrected"":""Das kommt auf den Zusammenhang an."",""editOps"":[]}"
39,Willst du mich verdammt nochmal auf den Arm nehmen?!,"{""explainHtml"":""<p  class='LT2'><b>?!<\/b> : Die Verwendung von mehreren Frage- oder Ausrufezeichen wirkt oft übertrieben emphatisch.<br\/>→ <span class='LTsuggest'>?<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>?!<\/b> : Die Verwendung von mehreren Frage- oder Ausrufezeichen wirkt oft übertrieben emphatisch.<br\/>→ <span class='LTsuggest'>?<\/span><\/p>\n"",""correctedHtml"":""Willst du <u title='mir || mich'>mich<\/u> verdammt nochmal auf den Arm nehmen<u class='LT2'>?<\/u><u class='LT2'>!<\/u>"",""model"":""UNK"",""editXml"":""Willst du <DBT TOK='mir || mich'>mich<\/DBT> verdammt nochmal auf den Arm nehmen<DBT RID='LT2'>?<\/DBT><DBT RID='LT2'>!<\/DBT>"",""corrected"":""Willst du mich verdammt nochmal auf den Arm nehmen?!"",""editOps"":[{""LTID"":"""",""beg"":10,""kind"":""DBT"",""alt"":""mir || mich"",""text"":""mich""},{""LTID"":""LT2"",""beg"":50,""kind"":""DBT"",""alt"":"""",""text"":""?""},{""LTID"":""LT2"",""beg"":51,""kind"":""DBT"",""alt"":"""",""text"":""!""}]}"
40,"Das ist das Dümmste, was ich je gesagt habe.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das ist das Dümmste, was ich je gesagt habe."",""model"":""UNK"",""editXml"":""Das ist das Dümmste, was ich je gesagt habe."",""corrected"":""Das ist das Dümmste, was ich je gesagt habe."",""editOps"":[]}"
41,"Ich will nicht erbärmlich sein, ich will cool sein!!","{""explainHtml"":""<p  class='LT2'><b>!!<\/b> : Die Verwendung von mehreren Frage- oder Ausrufezeichen wirkt oft übertrieben emphatisch.<br\/>→ <span class='LTsuggest'>!<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>!!<\/b> : Die Verwendung von mehreren Frage- oder Ausrufezeichen wirkt oft übertrieben emphatisch.<br\/>→ <span class='LTsuggest'>!<\/span><\/p>\n"",""correctedHtml"":""Ich will nicht erbärmlich sein, ich will cool sein<u class='LT2'>!<\/u><u class='LT2'>!<\/u>"",""model"":""UNK"",""editXml"":""Ich will nicht erbärmlich sein, ich will cool sein<DBT RID='LT2'>!<\/DBT><DBT RID='LT2'>!<\/DBT>"",""corrected"":""Ich will nicht erbärmlich sein, ich will cool sein!!"",""editOps"":[{""LTID"":""LT2"",""beg"":50,""kind"":""DBT"",""alt"":"""",""text"":""!""},{""LTID"":""LT2"",""beg"":51,""kind"":""DBT"",""alt"":"""",""text"":""!""}]}"
42,"Wenn ich groß bin, will ich ein König sein.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wenn ich groß bin, will ich ein König sein."",""model"":""UNK"",""editXml"":""Wenn ich groß bin, will ich ein König sein."",""corrected"":""Wenn ich groß bin, will ich ein König sein."",""editOps"":[]}"
43,"Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Amerika<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen."",""model"":""UNK"",""editXml"":""Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen."",""corrected"":""Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen."",""editOps"":[]}"
44,Ich bin so dick.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich bin so dick."",""model"":""UNK"",""editXml"":""Ich bin so dick."",""corrected"":""Ich bin so dick."",""editOps"":[]}"
45,Ich werde ihn erschießen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich werde ihn erschießen."",""model"":""UNK"",""editXml"":""Ich werde ihn erschießen."",""corrected"":""Ich werde ihn erschießen."",""editOps"":[]}"
46,"Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich bin kein echter Fisch, ich bin nur ein einfaches <u title='Plüschtig || Plüschtier'>Plüschtier<\/u>."",""model"":""UNK"",""editXml"":""Ich bin kein echter Fisch, ich bin nur ein einfaches <DBT TOK='Plüschtig || Plüschtier'>Plüschtier<\/DBT>."",""corrected"":""Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier."",""editOps"":[{""LTID"":"""",""beg"":53,""kind"":""DBT"",""alt"":""Plüschtig || Plüschtier"",""text"":""Plüschtier""}]}"
47,Ich sag's ja nur!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich sag's ja nur!"",""model"":""UNK"",""editXml"":""Ich sag's ja nur!"",""corrected"":""Ich sag's ja nur!"",""editOps"":[]}"
48,"Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wahrscheinlich war es das, was <u title='Ihre || ihre'>ihre<\/u> Entscheidung beeinflusst hat."",""model"":""UNK"",""editXml"":""Wahrscheinlich war es das, was <DBT TOK='Ihre || ihre'>ihre<\/DBT> Entscheidung beeinflusst hat."",""corrected"":""Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat."",""editOps"":[{""LTID"":"""",""beg"":31,""kind"":""DBT"",""alt"":""Ihre || ihre"",""text"":""ihre""}]}"
49,"Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben."",""model"":""UNK"",""editXml"":""Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben."",""corrected"":""Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben."",""editOps"":[]}"
50,Das hätte ich gesagt.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>hätte, ich<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Das hätte ich gesagt."",""model"":""UNK"",""editXml"":""Das hätte ich gesagt."",""corrected"":""Das hätte ich gesagt."",""editOps"":[]}"
51,"Es würde ewig dauern, alles zu erklären.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es würde ewig dauern, alles zu erklären."",""model"":""UNK"",""editXml"":""Es würde ewig dauern, alles zu erklären."",""corrected"":""Es würde ewig dauern, alles zu erklären."",""editOps"":[]}"
52,"Das liegt daran, dass du ein Mädchen bist.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das liegt daran, dass du ein Mädchen bist."",""model"":""UNK"",""editXml"":""Das liegt daran, dass du ein Mädchen bist."",""corrected"":""Das liegt daran, dass du ein Mädchen bist."",""editOps"":[]}"
53,"Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen."",""model"":""UNK"",""editXml"":""Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen."",""corrected"":""Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen."",""editOps"":[]}"
54,"Es ist ein Wort, für das ich gerne einen Ersatz finden würde.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es ist ein Wort, für das ich gerne einen Ersatz finden würde."",""model"":""UNK"",""editXml"":""Es ist ein Wort, für das ich gerne einen Ersatz finden würde."",""corrected"":""Es ist ein Wort, für das ich gerne einen Ersatz finden würde."",""editOps"":[]}"
55,"Das wäre etwas, das ich programmieren sollte.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das wäre etwas, das ich programmieren sollte."",""model"":""UNK"",""editXml"":""Das wäre etwas, das ich programmieren sollte."",""corrected"":""Das wäre etwas, das ich programmieren sollte."",""editOps"":[]}"
56,"Ich beabsichtige nicht, selbstsüchtig zu sein.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich beabsichtige nicht, selbstsüchtig zu sein."",""model"":""UNK"",""editXml"":""Ich beabsichtige nicht, selbstsüchtig zu sein."",""corrected"":""Ich beabsichtige nicht, selbstsüchtig zu sein."",""editOps"":[]}"
57,"Lass uns über das Schlimmste, das passieren könnte, nachdenken.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Lass uns über das Schlimmste, das passieren könnte, nachdenken."",""model"":""UNK"",""editXml"":""Lass uns über das Schlimmste, das passieren könnte, nachdenken."",""corrected"":""Lass uns über das Schlimmste, das passieren könnte, nachdenken."",""editOps"":[]}"
58,Wie viele enge Freunde hast du?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wie viele enge Freunde hast du?"",""model"":""UNK"",""editXml"":""Wie viele enge Freunde hast du?"",""corrected"":""Wie viele enge Freunde hast du?"",""editOps"":[]}"
59,"Ich bin vielleicht asozial, aber das heißt nicht, dass ich nicht mit Leuten rede.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Leuten<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Ich bin vielleicht <u title='sozial'>asozial<\/u>, aber das heißt nicht, dass ich nicht mit Leuten rede."",""model"":""UNK"",""editXml"":""Ich bin vielleicht <DBT TOK='sozial'>asozial<\/DBT>, aber das heißt nicht, dass ich nicht mit Leuten rede."",""corrected"":""Ich bin vielleicht asozial, aber das heißt nicht, dass ich nicht mit Leuten rede."",""editOps"":[{""LTID"":"""",""beg"":19,""kind"":""DBT"",""alt"":""sozial"",""text"":""asozial""}]}"
60,Das ist immer so gewesen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das ist immer so gewesen."",""model"":""UNK"",""editXml"":""Das ist immer so gewesen."",""corrected"":""Das ist immer so gewesen."",""editOps"":[]}"
61,"Ich denke, es ist am besten, nicht unhöflich zu sein.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich denke, es ist am besten, nicht unhöflich zu sein."",""model"":""UNK"",""editXml"":""Ich denke, es ist am besten, nicht unhöflich zu sein."",""corrected"":""Ich denke, es ist am besten, nicht unhöflich zu sein."",""editOps"":[]}"
62,Man kann immer Zeit finden.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Zeit<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Man kann immer Zeit finden."",""model"":""UNK"",""editXml"":""Man kann immer Zeit finden."",""corrected"":""Man kann immer Zeit finden."",""editOps"":[]}"
63,"Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen."",""model"":""UNK"",""editXml"":""Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen."",""corrected"":""Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen."",""editOps"":[]}"
64,Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden."",""model"":""UNK"",""editXml"":""Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden."",""corrected"":""Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden."",""editOps"":[]}"
65,"Als ich aufgewacht bin, war ich traurig.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Als ich aufgewacht bin, war ich traurig."",""model"":""UNK"",""editXml"":""Als ich aufgewacht bin, war ich traurig."",""corrected"":""Als ich aufgewacht bin, war ich traurig."",""editOps"":[]}"
66,Das ist am Ende einigermaßen erklärt.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Das ist am Ende einigermaßen erklärt."",""model"":""UNK"",""editXml"":""Das ist am Ende einigermaßen erklärt."",""corrected"":""Das ist am Ende einigermaßen erklärt."",""editOps"":[]}"
67,"Ich dachte, du würdest gerne neue Sachen lernen.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du, würdest<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Ich dachte, du würdest gerne neue Sachen lernen."",""model"":""UNK"",""editXml"":""Ich dachte, du würdest gerne neue Sachen lernen."",""corrected"":""Ich dachte, du würdest gerne neue Sachen lernen."",""editOps"":[]}"
68,Die meisten Menschen schreiben über ihr Alltagsleben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Die meisten Menschen schreiben über ihr Alltagsleben."",""model"":""UNK"",""editXml"":""Die meisten Menschen schreiben über ihr Alltagsleben."",""corrected"":""Die meisten Menschen schreiben über ihr Alltagsleben."",""editOps"":[]}"
