,Input,Output,Response
15,"""Mama, darf ich einen Keks essen?"" ""Nein, darfst du nicht. Man sollte nicht zwischen den Mahlzeiten essen.""","""Mama, darf ich einen Keks essen?"" ""Nein, darfst du nicht. Man sollte nicht zwischen den Mahlzeiten essen. ""","{""explainHtml"":""<p  class='LT2'><b>\""<\/b> : Zeichen ohne sein Gegenst端ck: '\""' scheint zu fehlen<\/p>\n<p  class='LT4'><b>\""<\/b> : Zeichen ohne sein Gegenst端ck: '\""' scheint zu fehlen<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>\""<\/b> : Zeichen ohne sein Gegenst端ck: '\""' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\""<\/b> : Zeichen ohne sein Gegenst端ck: '\""' scheint zu fehlen<\/p>\n"",""correctedHtml"":""\""Mama, darf ich einen Keks essen?\"" <u class='LT2'>\""<\/u>Nein, darfst du nicht. Man sollte nicht zwischen den Mahlzeiten essen.<b> <\/b><u class='LT4'>\""<\/u>"",""model"":""UNK"",""editXml"":""\""Mama, darf ich einen Keks essen?\"" <DBT RID='LT2'>\""<\/DBT>Nein, darfst du nicht. Man sollte nicht zwischen den Mahlzeiten essen.<INS TOK=' '\/><DBT RID='LT4'>\""<\/DBT>"",""corrected"":""\""Mama, darf ich einen Keks essen?\"" \""Nein, darfst du nicht. Man sollte nicht zwischen den Mahlzeiten essen. \"""",""editOps"":[{""LTID"":""LT2"",""beg"":35,""kind"":""DBT"",""alt"":"""",""text"":""\""""},{""LTID"":""LT4"",""beg"":106,""kind"":""DBT"",""alt"":"""",""text"":""\""""}]}"
16,"Es ist ziemlich schwierig, Französisch nach 2, 3 Jahren zu beherrschen.","Es ist ziemlich schwierig, Französisch nach 2,3 Jahren zu beherrschen.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Französisch<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Es ist ziemlich schwierig, Französisch nach 2,<img src='BugSmall.png' class='smallbug'  title=' '\/>3 Jahren zu beherrschen."",""model"":""UNK"",""editXml"":""Es ist ziemlich schwierig, Französisch nach 2,<DEL TOK=''> <\/DEL>3 Jahren zu beherrschen."",""corrected"":""Es ist ziemlich schwierig, Französisch nach 2,3 Jahren zu beherrschen."",""editOps"":[{""LTID"":"""",""beg"":46,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
17,„Eine Katze? “ fragte der alte Mann.,„Eine Katze? “Fragte der alte Mann.,"{""explainHtml"":""<p  class='LT2'><b>\u201E<\/b> : Zeichen ohne sein Gegenst端ck: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT4'><b>\u201C<\/b> : Zeichen ohne sein Gegenst端ck: '\u201E' scheint zu fehlen<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>\u201E<\/b> : Zeichen ohne sein Gegenst端ck: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\u201C<\/b> : Zeichen ohne sein Gegenst端ck: '\u201E' scheint zu fehlen<\/p>\n"",""correctedHtml"":""<u title='&#34; || \u201E'><u class='LT2'>\u201E<\/u><\/u>Eine Katze? <u class='LT4'>\u201C<\/u><b title=' fragte'>Fragte<\/b> der alte Mann."",""model"":""UNK"",""editXml"":""<DBT TOK='&#34; || \u201E'><DBT RID='LT2'>\u201E<\/DBT><\/DBT>Eine Katze? <DBT RID='LT4'>\u201C<\/DBT><REP TOK='Fragte'> fragte<\/REP> der alte Mann."",""corrected"":""\u201EEine Katze? \u201CFragte der alte Mann."",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""\u201E""},{""LTID"":"""",""beg"":0,""kind"":""DBT"",""alt"":""&#34; || \u201E"",""text"":""\u201E""},{""LTID"":""LT4"",""beg"":13,""kind"":""DBT"",""alt"":"""",""text"":""\u201C""},{""LTID"":"""",""beg"":14,""kind"":""REP"",""alt"":""Fragte"",""text"":"" fragte""}]}"
18,Mann bist du doof! Ich muss dir echt alles erklären!,"Mann, bist du doof! Ich muss dir echt alles erklären!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Mann<b>,<\/b> bist du doof! Ich muss dir echt alles erklären!"",""model"":""UNK"",""editXml"":""Mann<INS TOK=','\/> bist du doof! Ich muss dir echt alles erklären!"",""corrected"":""Mann, bist du doof! Ich muss dir echt alles erklären!"",""editOps"":[]}"
19,"Los, spiel' mit mir, mir ist so langweilig!","Los, spiel 'mit mir, mir ist so langweilig!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Los, spiel<b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>mit mir, mir ist so langweilig!"",""model"":""UNK"",""editXml"":""Los, spiel<INS TOK=' '\/>'<DEL TOK=''> <\/DEL>mit mir, mir ist so langweilig!"",""corrected"":""Los, spiel 'mit mir, mir ist so langweilig!"",""editOps"":[{""LTID"":"""",""beg"":11,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
20,"Denk' nicht mal dran, meine Schokolade zu essen!","Denk 'nicht mal dran, meine Schokolade zu essen!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Denk<b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>nicht mal dran, meine Schokolade zu essen!"",""model"":""UNK"",""editXml"":""Denk<INS TOK=' '\/>'<DEL TOK=''> <\/DEL>nicht mal dran, meine Schokolade zu essen!"",""corrected"":""Denk 'nicht mal dran, meine Schokolade zu essen!"",""editOps"":[{""LTID"":"""",""beg"":5,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
21,"Wenn du dich nicht mit Sonnencreme eincremen willst, ist das deine Sache. Aber beschwer' dich später nicht bei mir, wenn du Sonnenbrand hast.","Wenn du dich nicht mit Sonnencreme einkremmen willst, ist das deine Sache. Aber beschwer 'dich später nicht bei mir, wenn du Sonnenbrand hast.","{""explainHtml"":""<p  class='LT2'><b>beschwer<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>beschwert<\/span>, <span class='LTsuggest'>beschwor<\/span>, <span class='LTsuggest'>beschwere<\/span>, <span class='LTsuggest'>beschwör<\/span>, <span class='LTsuggest'>schwer<\/span>, <span class='LTsuggest'>Gegner<\/span>, <span class='LTsuggest'>enger<\/span>, <span class='LTsuggest'>Jäger<\/span>, <span class='LTsuggest'>nächster<\/span>, <span class='LTsuggest'>beschwerte<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Sonnenbrand<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>beschwer<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>beschwert<\/span>, <span class='LTsuggest'>beschwor<\/span>, <span class='LTsuggest'>beschwere<\/span>, <span class='LTsuggest'>beschwör<\/span>, <span class='LTsuggest'>schwer<\/span>, <span class='LTsuggest'>Gegner<\/span>, <span class='LTsuggest'>enger<\/span>, <span class='LTsuggest'>Jäger<\/span>, <span class='LTsuggest'>nächster<\/span>, <span class='LTsuggest'>beschwerte<\/span><\/p>\n"",""correctedHtml"":""Wenn du dich nicht mit Sonnencreme <b title='eincremen'>einkremmen<\/b> willst, ist das deine Sache. Aber <i class='LT2'>beschwer<\/i><b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>dich später nicht bei mir, wenn du Sonnenbrand hast."",""model"":""UNK"",""editXml"":""Wenn du dich nicht mit Sonnencreme <REP TOK='einkremmen'>eincremen<\/REP> willst, ist das deine Sache. Aber <UNK RID='LT2'>beschwer<\/UNK><INS TOK=' '\/>'<DEL TOK=''> <\/DEL>dich später nicht bei mir, wenn du Sonnenbrand hast."",""corrected"":""Wenn du dich nicht mit Sonnencreme einkremmen willst, ist das deine Sache. Aber beschwer 'dich später nicht bei mir, wenn du Sonnenbrand hast."",""editOps"":[{""LTID"":"""",""beg"":35,""kind"":""REP"",""alt"":""einkremmen"",""text"":""eincremen""},{""LTID"":""LT2"",""beg"":79,""kind"":""UNK"",""alt"":"""",""text"":""beschwer""},{""LTID"":"""",""beg"":88,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
22,"Zu nervig... Ich kann nicht einmal einen Computer benutzen, ohne Kopfweh zu bekommen!","Zu nervig... Ich kann nicht einmal einen Computer benutzen, ohne Kopfweg zu bekommen!","{""explainHtml"":""<p  class='LT2'><b>Kopfweh<\/b> : 'Kopfweh' ist umgangssprachlich.<br\/>→ <span class='LTsuggest'>Kopfschmerz<\/span>, <span class='LTsuggest'>Kopfschmerzen<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Kopfweh<\/b> : 'Kopfweh' ist umgangssprachlich.<br\/>→ <span class='LTsuggest'>Kopfschmerz<\/span>, <span class='LTsuggest'>Kopfschmerzen<\/span><\/p>\n"",""correctedHtml"":""Zu nervig... Ich kann nicht einmal einen Computer benutzen, ohne <b title='Kopfweh'><u class='LT2'>Kopfweg<\/u><\/b> zu bekommen!"",""model"":""UNK"",""editXml"":""Zu nervig... Ich kann nicht einmal einen Computer benutzen, ohne <REP TOK='Kopfweg'><DBT RID='LT2'>Kopfweh<\/DBT><\/REP> zu bekommen!"",""corrected"":""Zu nervig... Ich kann nicht einmal einen Computer benutzen, ohne Kopfweg zu bekommen!"",""editOps"":[{""LTID"":""LT2"",""beg"":65,""kind"":""DBT"",""alt"":"""",""text"":""Kopfweh""},{""LTID"":"""",""beg"":65,""kind"":""REP"",""alt"":""Kopfweg"",""text"":""Kopfweh""}]}"
23,"Ihr kennt den Satz, wir ernten, was wir säen. Ich habe den Wind gesät und hier ist mein Sturm.","Ihr kennt den Satz, wir ernten, was wir sehen. Ich habe den Wind gesehen und hier ist mein Sturm.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr kennt den Satz, wir ernten, was wir <b title='säen'>sehen<\/b>. Ich habe den Wind <b title='gesät'>gesehen<\/b> und hier ist mein Sturm."",""model"":""UNK"",""editXml"":""Ihr kennt den Satz, wir ernten, was wir <REP TOK='sehen'>säen<\/REP>. Ich habe den Wind <REP TOK='gesehen'>gesät<\/REP> und hier ist mein Sturm."",""corrected"":""Ihr kennt den Satz, wir ernten, was wir sehen. Ich habe den Wind gesehen und hier ist mein Sturm."",""editOps"":[{""LTID"":"""",""beg"":40,""kind"":""REP"",""alt"":""sehen"",""text"":""säen""},{""LTID"":"""",""beg"":64,""kind"":""REP"",""alt"":""gesehen"",""text"":""gesät""}]}"
24,"Schau' mich an, wenn ich mit dir rede!","Schau 'mich an, wenn ich mit dir rede!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Schau<b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>mich an, wenn ich mit dir rede!"",""model"":""UNK"",""editXml"":""Schau<INS TOK=' '\/>'<DEL TOK=''> <\/DEL>mich an, wenn ich mit dir rede!"",""corrected"":""Schau 'mich an, wenn ich mit dir rede!"",""editOps"":[{""LTID"":"""",""beg"":6,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
25,"Was wäre, wenn du eine Rede halten würdest, und niemand käme?","Was wäre, wenn du eine Rede halten würdest, und niemand kenne?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was wäre, wenn du eine Rede halten würdest, und niemand <b title='käme'>kenne<\/b>?"",""model"":""UNK"",""editXml"":""Was wäre, wenn du eine Rede halten würdest, und niemand <REP TOK='kenne'>käme<\/REP>?"",""corrected"":""Was wäre, wenn du eine Rede halten würdest, und niemand kenne?"",""editOps"":[{""LTID"":"""",""beg"":56,""kind"":""REP"",""alt"":""kenne"",""text"":""käme""}]}"
26,Sprechen Sie bitte langsamer!,Sprechen Sie bitte langsam!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sprechen Sie bitte <b title='langsamer'>langsam<\/b>!"",""model"":""UNK"",""editXml"":""Sprechen Sie bitte <REP TOK='langsam'>langsamer<\/REP>!"",""corrected"":""Sprechen Sie bitte langsam!"",""editOps"":[{""LTID"":"""",""beg"":19,""kind"":""REP"",""alt"":""langsam"",""text"":""langsamer""}]}"
